,Hashtag,Count
0,American Sniper,16793
1,Movie,1394
2,Review,1372
3,Chris Kyle,1144
4,Oscars,1124
5,Bradley Cooper,823
6,Oscar Noms,759
7,Honor Chris Kyle,659
8,Clint Eastwood,365
9,P J N E T,319
10,Oscar,238
11,U S A,182
12,R I P Chris Kyle,181
13,Birdman,174
14,Selma,151
15,The Imitation Game,148
16,The Legend,136
17,Merica,127
18,Boyhood,123
19,Whiplash,120
20,Eddie Ray Routh,100
21,Americansniper,90
22,Chapel Hill Shooting,84
23,Michael Moore,83
24,Hollywood,83
25,Golden Globes,81
26,Red Nation Rising,78
27,A M E R I C A N S N I P E R,71
28,America,70
29,Chris Kyle Day,70
30,Hero,65
31,Foxcatcher,64
32,American Hero,63
33,Best Picture,60
34,Imitation Game,58
35,The Grand Budapest Hotel,56
36,Hannity,56
37,The Theoryof Everything,55
38,Iraq,55
39,American,54
40,Chris Kyle American Hero,54
41,Military Monday,50
42,Movies,50
43,Legend,49
44,Unbroken,48
45,Sienna Miller,47
46,Never Forget,47
47,News,46
48,Academy Awards,45
49,Box Office,45
50,F R U S H,44
51,S O H H,44
52,Kelly File,44
53,Gone Girl,42
54,R I P,41
55,N W,41
56,Now Watching,40
57,Interstellar,40
58,Grand Budapest Hotel,39
59,Eastwood,38
60,Oscar Nominations,38
61,Selma Movie,35
62,Military,35
63,Navy S E A L,34
64,Taya Kyle,33
65,Boycott Sorority Sisters,33
66,Veterans,33
67,T C O T,32
68,Inherent Vice,31
69,Respect,31
70,S O T U,31
71,D G A,30
72,I S I S,28
73,Film,28
74,Nw,27
75,Theoryof Everything,27
76,S Y R I A,27
77,Charlie Hebdo,27
78,Sniper,27
79,I M Db,26
80,Sweepstakes,26
81,Oscars Noms,26
82,Support Our Troops,25
83,Je Suis Charlie,25
84,Access,25
85,S O T,25
86,God Bless America,25
87,Must See,25
88,Entertainment,25
89,Navy,25
90,Sorority Sisters,25
91,Most Lethal Sniper,24
92,Wedding Ringer,23
93,M L K,23
94,All Lives Matter,23
95,B R E A K I N G,23
96,Navy Seal,23
97,L A,23
98,Oscarnoms,22
99,Unite Blue,22
100,Luiis,22
101,Texas,22
102,God Bless Chris Kyle,22
103,P T S D,21
104,Unbroken Movie,21
105,Beards,21
106,Si Accettano Miracoli,21
107,Coming Soon,20
108,Chad Littlefield,19
109,Birdman Movie,19
110,Best Actor,19
111,Salute,19
112,Golden G Iobes,19
113,Writers Guild Awards,19
114,No Sticks No Seeds No Tax,19
115,S E A L,19
116,Obama,19
117,Football,18
118,The Lead,18
119,Theater,18
120,Fox News,18
121,Paddington,18
122,Whiplash Movie,17
123,Fury,17
124,Clint,17
125,Seth Rogan,16
126,The Brand,16
127,Hooyah,16
128,Fake Baby,16
129,Lone Survivor,16
130,Nightcrawler,16
131,E P,16
132,D G A Awards,15
133,H O U,15
134,Big Eyes,15
135,H C Hookup,15
136,S E A Ls,15
137,Into The Woods,15
138,Molon Labe,15
139,S A G Awards,14
140,U S,14
141,Mejor Pel,14
142,Must Watch,14
143,The Gambler,14
144,Sky Cinema Oscar,14
145,I M A X,14
146,Assad Crimes,14
147,True Hero,14
148,American Sniper I T,14
149,Human Rights,13
150,Wild,13
151,U S M C,13
152,G O P,13
153,The Oscars,13
154,M L K Day,13
155,Heroes,13
156,Still Alice,12
157,Paris March,12
158,Muslims,12
159,Seth Rogen,12
160,Aaron Hernandez,12
161,Blackhat,12
162,Thank You,12
163,I,12
164,Unite Right,11
165,S O V,11
166,Patriot,11
167,Navy Seals,11
168,N E W S,11
169,Navy S E A Ls,11
170,T E A Party,11
171,Amazing,11
172,N R A,11
173,A S S A D,11
174,Sponge Bob Movie,11
175,Islam,10
176,Big Hero,10
177,Great Movie,10
178,U S N,10
179,Islamophobia,10
180,Murica,10
181,M M,10
182,War On Women,10
183,Patriots,10
184,Muslim Lives Matter,10
185,Clueless Oscars,10
186,Five Words To Ruin A Date,9
187,The Five,9
188,M U R I C A,9
189,Lib Crib,9
190,L L T B,9
191,The Interview,9
192,The Hobbit,9
